Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
26,Alberto Aquilani,it ITA,MF,Pescara,32,1984,9,6,551,6.1,1,1,2,1,0,0,3,1,0.16,0.16,0.33,0.16,0.33,Matches,2016-2017
27,Alberto Aquilani,it ITA,MF,Sassuolo,32,1984,16,14,"1,237",13.7,0,1,1,0,0,0,3,0,0,0.07,0.07,0,0.07,Matches,2016-2017
28,Mattia Aramu,it ITA,"FW,MF",Torino,21,1995,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2016-2017
29,Pablo Armero,co COL,"DF,MF",Udinese,29,1986,2,2,180,2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,2016-2017
30,Kwadwo Asamoah,gh GHA,"DF,MF",Juventus,27,1988,18,16,"1,472",16.4,0,1,1,0,0,0,2,0,0,0.06,0.06,0,0.06,Matches,2016-2017
31,Davide Astori,it ITA,DF,Fiorentina,29,1987,33,33,"2,967",33,2,0,2,2,0,0,12,2,0.06,0,0.06,0.06,0.06,Matches,2016-2017
32,Emil Audero,id IDN,GK,Juventus,19,1997,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2016-2017
33,Danilo Avelar,br BRA,"DF,MF",Torino,27,1989,3,3,262,2.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,2016-2017
34,Mame Baba Thiam,sn SEN,"FW,MF",Empoli,23,1992,15,9,876,9.7,1,1,2,1,0,0,1,0,0.1,0.1,0.21,0.1,0.21,Matches,2016-2017
35,Khouma Babacar,sn SEN,FW,Fiorentina,23,1993,22,13,"1,326",14.7,10,1,11,9,1,1,0,0,0.68,0.07,0.75,0.61,0.68,Matches,2016-2017
36,Carlos Bacca,co COL,FW,Milan,29,1986,32,26,"2,112",23.5,13,3,16,9,4,6,3,0,0.55,0.13,0.68,0.38,0.51,Matches,2016-2017
37,Milan Badelj,hr CRO,MF,Fiorentina,27,1989,33,29,"2,508",27.9,2,2,4,2,0,0,9,0,0.07,0.07,0.14,0.07,0.14,Matches,2016-2017
38,Jean-Christophe Bahebeck,fr FRA,"FW,MF",Pescara,23,1993,15,11,815,9.1,4,1,5,4,0,0,0,0,0.44,0.11,0.55,0.44,0.55,Matches,2016-2017
39,Keita Baldé,sn SEN,"FW,MF",Lazio,21,1995,31,21,"1,926",21.4,16,4,20,14,2,2,6,1,0.75,0.19,0.93,0.65,0.84,Matches,2016-2017
40,Andrija Balić,hr CRO,MF,Udinese,18,1997,4,3,239,2.7,1,0,1,1,0,0,1,0,0.38,0,0.38,0.38,0.38,Matches,2016-2017
41,Norbert Balogh,hu HUN,FW,Palermo,20,1996,16,6,532,5.9,0,0,0,0,0,0,3,1,0,0,0,0,0,Matches,2016-2017
42,Éver Banega,ar ARG,MF,Inter,28,1988,28,20,"1,555",17.3,6,6,12,6,0,0,4,1,0.35,0.35,0.69,0.35,0.69,Matches,2016-2017
43,Federico Barba,it ITA,DF,Empoli,22,1993,11,9,812,9,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches,2016-2017
