Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
174,Bernardo Espinosa,co COL,DF,Sevilla,21,1989,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2010-2011
175,Esteban,es ESP,GK,Almería,35,1975,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2010-2011
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,2010-2011
176,Dani Estrada,es ESP,"DF,MF",Real Sociedad,23,1987,19,18,"1,627",18.1,1,2,3,1,0,0,4,0,0.06,0.11,0.17,0.06,0.17,Matches,2010-2011
177,Luís Fabiano,br BRA,FW,Sevilla,29,1980,21,16,"1,380",15.3,10,3,13,7,3,3,2,0,0.65,0.2,0.85,0.46,0.65,Matches,2010-2011
178,Javier Farinós,es ESP,MF,Hércules,32,1978,12,11,886,9.8,1,2,3,1,0,0,3,1,0.1,0.2,0.3,0.1,0.3,Matches,2010-2011
179,Federico Fazio,ar ARG,DF,Sevilla,23,1987,19,17,"1,504",16.7,1,0,1,1,0,0,3,0,0.06,0,0.06,0.06,0.06,Matches,2010-2011
180,Sofiane Feghouli,dz ALG,"FW,MF",Almería,20,1989,9,4,345,3.8,2,0,2,2,0,0,0,0,0.52,0,0.52,0.52,0.52,Matches,2010-2011
181,Sofiane Feghouli,dz ALG,"FW,MF",Valencia,20,1989,3,0,33,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2010-2011
182,Kiko Femenía,es ESP,"DF,FW",Hércules,19,1991,34,21,"2,076",23.1,1,5,6,1,0,0,2,0,0.04,0.22,0.26,0.04,0.26,Matches,2010-2011
183,Manuel Fernandes,pt POR,MF,Valencia,24,1986,7,5,485,5.4,0,1,1,0,0,0,1,0,0,0.19,0.19,0,0.19,Matches,2010-2011
184,Álex Fernández,es ESP,"DF,MF",Real Madrid,17,1992,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2010-2011
185,Borja Fernández,es ESP,MF,Getafe,29,1981,13,4,467,5.2,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches,2010-2011
186,Mario Fernández,es ESP,GK,Racing Sant,22,1988,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2010-2011
187,Raúl Fernández,es ESP,GK,Athletic Club,22,1988,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2010-2011
188,Seba Fernández,uy URU,FW,Málaga,25,1985,30,21,"1,900",21.1,7,4,11,7,0,,3,0,0.33,0.19,0.52,0.33,0.52,Matches,2010-2011
189,Fernando,es ESP,"FW,MF",Málaga,31,1979,21,12,"1,082",12,2,0,2,2,0,0,2,0,0.17,0,0.17,0.17,0.17,Matches,2010-2011
190,Miguel Flaño,es ESP,DF,Osasuna,25,1984,30,28,"2,571",28.6,2,0,2,2,0,0,5,0,0.07,0,0.07,0.07,0.07,Matches,2010-2011
191,Andreu Fontàs,es ESP,DF,Barcelona,20,1989,6,5,459,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2010-2011
192,Rui Fonte,pt POR,"FW,MF",Espanyol,20,1990,11,0,133,1.5,0,1,1,0,0,0,1,0,0,0.68,0.68,0,0.68,Matches,2010-2011
193,Diego Forlán,uy URU,"FW,MF",Atlético Madrid,31,1979,32,23,"2,167",24.1,8,7,15,8,0,2,3,0,0.33,0.29,0.62,0.33,0.62,Matches,2010-2011
194,Juan Forlín,ar ARG,"DF,MF",Espanyol,22,1988,21,21,"1,763",19.6,0,0,0,0,0,0,9,1,0,0,0,0,0,Matches,2010-2011
195,Francis,es ESP,"DF,MF",Racing Sant,28,1981,24,20,"1,841",20.5,0,1,1,0,0,0,5,1,0,0.05,0.05,0,0.05,Matches,2010-2011
196,Leo Franco,ar ARG,GK,Zaragoza,33,1977,23,21,"1,876",20.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2010-2011
197,Matías Fritzler,ar ARG,MF,Hércules,23,1986,26,22,"1,795",19.9,0,0,0,0,0,0,10,2,0,0,0,0,0,Matches,2010-2011
198,Gabi,es ESP,MF,Zaragoza,27,1983,36,36,"3,228",35.9,11,7,18,5,6,6,15,0,0.31,0.2,0.5,0.14,0.33,Matches,2010-2011
199,Igor Gabilondo,es ESP,MF,Athletic Club,31,1979,29,10,"1,060",11.8,5,4,9,5,0,0,1,0,0.42,0.34,0.76,0.42,0.76,Matches,2010-2011
200,Fernando Gago,ar ARG,MF,Real Madrid,24,1986,4,1,99,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2010-2011
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,2010-2011
201,Ernesto Galán,es ESP,DF,Espanyol,24,1986,22,21,"1,833",20.4,1,0,1,1,0,0,4,1,0.05,0,0.05,0.05,0.05,Matches,2010-2011
202,Rodrigo Galatto,br BRA,GK,Málaga,27,1983,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2010-2011
203,Jesús Gámez,es ESP,DF,Málaga,25,1985,30,30,"2,576",28.6,0,4,4,0,0,0,10,1,0,0.14,0.14,0,0.14,Matches,2010-2011
204,Ezequiel Garay,ar ARG,DF,Real Madrid,23,1986,5,4,330,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2010-2011
205,Ayoze García,es ESP,"DF,MF",Sporting Gijón,24,1985,13,6,560,6.2,1,0,1,0,1,1,0,0,0.16,0,0.16,0,0,Matches,2010-2011
206,Carlos García,es ESP,DF,Almería,26,1984,33,33,"2,942",32.7,1,0,1,1,0,0,8,1,0.03,0,0.03,0.03,0.03,Matches,2010-2011
207,David García,es ESP,DF,Espanyol,29,1981,17,16,"1,298",14.4,0,1,1,0,0,0,3,0,0,0.07,0.07,0,0.07,Matches,2010-2011
208,Jorge García,es ESP,DF,Sporting Gijón,26,1984,5,2,218,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2010-2011
209,Luis García,es ESP,"FW,MF",Espanyol,29,1981,37,36,"2,968",33,6,7,13,2,4,4,8,0,0.18,0.21,0.39,0.06,0.27,Matches,2010-2011
210,Raúl García,es ESP,"FW,MF",Atlético Madrid,24,1986,29,18,"1,582",17.6,1,2,3,1,0,0,7,0,0.06,0.11,0.17,0.06,0.17,Matches,2010-2011
211,Sergio García,es ESP,"FW,MF",Espanyol,27,1983,21,13,"1,171",13,3,1,4,3,0,0,3,0,0.23,0.08,0.31,0.23,0.31,Matches,2010-2011
212,Manolo Gaspar,es ESP,DF,Málaga,29,1981,9,7,727,8.1,0,0,0,0,0,0,4,1,0,0,0,0,0,Matches,2010-2011
213,Mario Gaspar,es ESP,"DF,MF",Villarreal,19,1990,22,20,"1,833",20.4,1,1,2,1,0,0,5,0,0.05,0.05,0.1,0.05,0.1,Matches,2010-2011
214,Jaime Gavilán,es ESP,MF,Getafe,25,1985,18,15,"1,248",13.9,2,4,6,2,0,0,1,0,0.14,0.29,0.43,0.14,0.43,Matches,2010-2011
215,David de Gea,es ESP,GK,Atlético Madrid,19,1990,38,38,"3,420",38,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,2010-2011
216,Diego Godín,uy URU,DF,Atlético Madrid,24,1986,25,25,"2,236",24.8,0,0,0,0,0,0,3,1,0,0,0,0,0,Matches,2010-2011
217,Henok Goitom,er ERI,FW,Almería,25,1984,26,8,865,9.6,1,1,2,1,0,0,0,0,0.1,0.1,0.21,0.1,0.21,Matches,2010-2011
218,Tiago Gomes,pt POR,MF,Hércules,24,1985,28,25,"2,105",23.4,2,1,3,2,0,0,3,0,0.09,0.04,0.13,0.09,0.13,Matches,2010-2011
219,Ibai Gómez,es ESP,"FW,MF",Athletic Club,20,1989,3,0,37,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2010-2011
220,Adrián González,es ESP,MF,Racing Sant,22,1988,23,16,"1,311",14.6,0,2,2,0,0,1,2,0,0,0.14,0.14,0,0.14,Matches,2010-2011
221,Álvaro González,es ESP,DF,Racing Sant,20,1990,3,3,261,2.9,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,2010-2011
222,Carmelo González,es ESP,MF,Sporting Gijón,27,1983,18,9,915,10.2,0,1,1,0,0,0,5,0,0,0.1,0.1,0,0.1,Matches,2010-2011
223,Iván González,es ESP,DF,Málaga,22,1988,6,4,326,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2010-2011
224,Mikel González,es ESP,DF,Real Sociedad,24,1985,32,30,"2,671",29.7,0,1,1,0,0,0,5,0,0,0.03,0.03,0,0.03,Matches,2010-2011
225,Nacho González,uy URU,MF,Levante,28,1982,3,2,117,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2010-2011
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,2010-2011
226,Esteban Granero,es ESP,MF,Real Madrid,23,1987,19,8,784,8.7,1,2,3,1,0,0,4,0,0.11,0.23,0.34,0.11,0.34,Matches,2010-2011
227,Antoine Griezmann,fr FRA,"FW,MF",Real Sociedad,19,1991,37,34,"2,832",31.5,7,2,9,7,0,0,7,0,0.22,0.06,0.29,0.22,0.29,Matches,2010-2011
228,Vicente Guaita,es ESP,GK,Valencia,23,1987,21,19,"1,795",19.9,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,2010-2011
229,Andrés Guardado,mx MEX,"DF,FW",La Coruña,23,1986,20,18,"1,469",16.3,2,2,4,0,2,2,4,0,0.12,0.12,0.25,0,0.12,Matches,2010-2011
230,Tiberio Guarente,it ITA,MF,Sevilla,24,1985,7,3,310,3.4,0,1,1,0,0,0,1,0,0,0.29,0.29,0,0.29,Matches,2010-2011
