Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
106,Julien Cardy,fr FRA,MF,Guingamp,32,1981,2,0,10,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,2014-2015
107,Yannick Carrasco,be BEL,"DF,FW",Monaco,20,1993,36,33,"2,797",31.1,6,10,16,6,0,0,6,0,0.19,0.32,0.51,0.19,0.51,Matches,2014-2015
108,Cédric Carrasso,fr FRA,GK,Bordeaux,32,1981,37,37,"3,251",36.1,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,2014-2015
109,Johann Carrasso,fr FRA,GK,Metz,26,1988,21,21,"1,795",19.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,2014-2015
110,Matheus Carvalho,br BRA,FW,Monaco,22,1992,8,4,324,3.6,1,1,2,1,0,0,0,0,0.28,0.28,0.56,0.28,0.56,Matches,2014-2015
111,Ricardo Carvalho,pt POR,DF,Monaco,36,1978,25,23,"1,993",22.1,0,1,1,0,0,0,4,1,0,0.05,0.05,0,0.05,Matches,2014-2015
112,Edinson Cavani,uy URU,"FW,MF",Paris S-G,27,1987,35,30,"2,628",29.2,18,1,19,15,3,3,4,1,0.62,0.03,0.65,0.51,0.55,Matches,2014-2015
113,Dimitri Cavaré,fr FRA,DF,Lens,19,1995,20,16,"1,485",16.5,0,1,1,0,0,0,1,0,0,0.06,0.06,0,0.06,Matches,2014-2015
114,Clément Chantôme,fr FRA,MF,Bordeaux,26,1987,13,13,"1,170",13,0,2,2,0,0,0,4,0,0,0.15,0.15,0,0.15,Matches,2014-2015
115,Clément Chantôme,fr FRA,MF,Paris S-G,26,1987,6,0,151,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2014-2015
116,Gaëtan Charbonnier,fr FRA,"FW,MF",Reims,25,1988,33,29,"2,389",26.5,6,5,11,4,2,2,9,0,0.23,0.19,0.41,0.15,0.34,Matches,2014-2015
117,Pablo Chavarría,ar ARG,"FW,MF",Lens,26,1988,31,27,"2,485",27.6,7,0,7,7,0,0,4,0,0.25,0,0.25,0.25,0.25,Matches,2014-2015
118,Jérémy Choplin,fr FRA,"DF,MF",Metz,29,1985,21,20,"1,807",20.1,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,2014-2015
119,Gilles Cioni,fr FRA,DF,Bastia,30,1984,14,10,"1,004",11.2,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,2014-2015
120,Djibril Cissé,fr FRA,FW,Bastia,32,1981,8,0,74,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2014-2015
121,Issa Cissokho,sn SEN,DF,Nantes,29,1985,33,32,"2,889",32.1,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches,2014-2015
122,Jérémy Clément,fr FRA,MF,Saint-Étienne,29,1984,29,28,"2,482",27.6,1,1,2,1,0,0,7,0,0.04,0.04,0.07,0.04,0.07,Matches,2014-2015
123,François Clerc,fr FRA,DF,Saint-Étienne,31,1983,15,15,"1,318",14.6,0,1,1,0,0,0,0,0,0,0.07,0.07,0,0.07,Matches,2014-2015
124,Marcus Coco,fr FRA,"DF,FW",Guingamp,18,1996,3,2,171,1.9,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,2014-2015
125,Renaud Cohade,fr FRA,MF,Saint-Étienne,29,1984,17,11,"1,044",11.6,1,0,1,1,0,0,2,0,0.09,0,0.09,0.09,0.09,Matches,2014-2015
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,2014-2015
