Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
46,Leonardo Bittencourt,de GER,"FW,MF",Hannover 96,20,1993,26,15,"1,377",15.3,1,3,4,1,0,0,7,1,0.07,0.2,0.26,0.07,0.26,Matches,2014-2015
47,Pablo de Blasis,ar ARG,"FW,MF",Mainz 05,26,1988,20,13,"1,142",12.7,1,4,5,1,0,0,1,0,0.08,0.32,0.39,0.08,0.39,Matches,2014-2015
48,Jérôme Boateng,de GER,DF,Bayern Munich,25,1988,27,25,"2,136",23.7,0,0,0,0,0,0,2,1,0,0,0,0,0,Matches,2014-2015
49,Kevin-Prince Boateng,gh GHA,"FW,MF",Schalke 04,27,1987,18,11,"1,043",11.6,0,3,3,0,0,0,4,1,0,0.26,0.26,0,0.26,Matches,2014-2015
50,Raúl Bobadilla,py PAR,FW,Augsburg,27,1987,32,31,"2,604",28.9,10,2,12,10,0,0,4,1,0.35,0.07,0.41,0.35,0.41,Matches,2014-2015
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,2014-2015
51,Sebastian Boenisch,pl POL,DF,Leverkusen,27,1987,12,9,872,9.7,0,1,1,0,0,0,2,0,0,0.1,0.1,0,0.1,Matches,2014-2015
52,Julian Brandt,de GER,"FW,MF",Leverkusen,18,1996,25,10,"1,119",12.4,4,2,6,4,0,0,0,0,0.32,0.16,0.48,0.32,0.48,Matches,2014-2015
53,Mišo Brečko,si SVN,"DF,MF",Köln,30,1984,19,17,"1,409",15.7,0,1,1,0,0,0,1,0,0,0.06,0.06,0,0.06,Matches,2014-2015
54,Jimmy Briand,fr FRA,"FW,MF",Hannover 96,28,1985,29,25,"2,062",22.9,3,6,9,3,0,0,2,0,0.13,0.26,0.39,0.13,0.39,Matches,2014-2015
55,Thomas Bröker,de GER,"FW,MF",Köln,29,1985,4,0,84,0.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,2014-2015
56,John Brooks,us USA,DF,Hertha BSC,21,1993,27,24,"2,188",24.3,1,0,1,1,0,0,5,0,0.04,0,0.04,0.04,0.04,Matches,2014-2015
57,Daniel Brosinski,de GER,"DF,MF",Mainz 05,26,1988,32,32,"2,770",30.8,0,3,3,0,0,0,4,1,0,0.1,0.1,0,0.1,Matches,2014-2015
58,Roel Brouwers,nl NED,DF,Gladbach,32,1981,20,15,"1,415",15.7,1,0,1,1,0,0,2,0,0.06,0,0.06,0.06,0.06,Matches,2014-2015
59,Daniel Brückner,de GER,"DF,MF",Paderborn 07,33,1981,23,23,"2,021",22.5,0,1,1,0,0,0,5,0,0,0.04,0.04,0,0.04,Matches,2014-2015
60,Niko Bungert,de GER,DF,Mainz 05,27,1986,26,23,"2,126",23.6,1,1,2,1,0,0,4,0,0.04,0.04,0.08,0.04,0.08,Matches,2014-2015
61,Sascha Burchert,de GER,GK,Hertha BSC,24,1989,2,1,98,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2014-2015
62,Roman Bürki,ch SUI,GK,Freiburg,23,1990,34,34,"3,060",34,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,2014-2015
63,Marnon Busch,de GER,"DF,MF",Werder Bremen,19,1994,9,4,427,4.7,1,0,1,1,0,0,0,0,0.21,0,0.21,0.21,0.21,Matches,2014-2015
64,Jakub Błaszczykowski,pl POL,MF,Dortmund,28,1985,13,6,601,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2014-2015
65,Caiuby,br BRA,"FW,MF",Augsburg,26,1988,22,6,821,9.1,1,0,1,1,0,0,3,0,0.11,0,0.11,0.11,0.11,Matches,2014-2015
66,Luca Caldirola,it ITA,DF,Werder Bremen,23,1991,7,5,471,5.2,1,0,1,1,0,0,4,1,0.19,0,0.19,0.19,0.19,Matches,2014-2015
67,Hakan Çalhanoğlu,tr TUR,"FW,MF",Leverkusen,20,1994,33,31,"2,507",27.9,8,6,14,8,0,1,3,0,0.29,0.22,0.5,0.29,0.5,Matches,2014-2015
68,Daniel Caligiuri,it ITA,"DF,FW",Wolfsburg,26,1988,28,18,"1,651",18.3,7,3,10,7,0,0,1,0,0.38,0.16,0.55,0.38,0.55,Matches,2014-2015
69,Jan-Ingwer Callsen-Bracker,de GER,DF,Augsburg,29,1984,23,22,"2,053",22.8,1,2,3,1,0,0,4,0,0.04,0.09,0.13,0.04,0.13,Matches,2014-2015
70,Koen Casteels,be BEL,GK,Werder Bremen,22,1992,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2014-2015
