Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Season
88,Kingsley Coman,fr FRA,"FW,MF",Bayern Munich,24,1996,29,23,"1,752",19.5,5,10,15,5,0,0,1,0,4.2,4.2,6.4,10.6,103,76,268,0.26,0.51,0.77,0.26,0.77,0.21,0.33,0.55,0.21,0.55,Matches,2020-2021
89,Jhon Córdoba,co COL,FW,Hertha BSC,27,1993,21,17,"1,537",17.1,7,1,8,7,0,0,3,0,6.9,6.9,1.6,8.5,22,16,97,0.41,0.06,0.47,0.41,0.47,0.41,0.09,0.5,0.41,0.5,Matches,2020-2021
90,Sergio Córdova,ve VEN,"FW,MF",Arminia,22,1997,23,13,"1,090",12.1,2,1,3,2,0,0,0,0,3.5,3.5,0.9,4.4,17,21,77,0.17,0.08,0.25,0.17,0.25,0.29,0.08,0.36,0.29,0.36,Matches,2020-2021
91,Danny da Costa,de GER,"DF,FW",Mainz 05,27,1993,16,15,"1,208",13.4,0,1,1,0,0,0,2,0,0.1,0.1,2.3,2.5,23,48,41,0,0.07,0.07,0,0.07,0.01,0.17,0.18,0.01,0.18,Matches,2020-2021
92,Danny da Costa,de GER,DF,Eint Frankfurt,27,1993,6,1,110,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,4,5,7,0,0,0,0,0,0.13,0,0.13,0.13,0.13,Matches,2020-2021
93,Douglas Costa,br BRA,"FW,MF",Bayern Munich,29,1990,11,3,320,3.6,1,1,2,1,0,0,0,0,0.2,0.2,0.8,0.9,15,17,40,0.28,0.28,0.56,0.28,0.56,0.04,0.21,0.26,0.04,0.26,Matches,2020-2021
94,Tanguy Coulibaly,fr FRA,"DF,FW",Stuttgart,19,2001,31,17,"1,506",16.7,2,1,3,2,0,0,2,0,2.8,2.8,2.6,5.4,46,29,149,0.12,0.06,0.18,0.12,0.18,0.16,0.16,0.32,0.16,0.32,Matches,2020-2021
95,Mickaël Cuisance,fr FRA,FW,Bayern Munich,20,1999,1,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Matches,2020-2021
96,Matheus Cunha,br BRA,"FW,MF",Hertha BSC,21,1999,27,25,"2,149",23.9,7,4,11,5,2,3,9,0,8.4,6.1,4.5,10.6,91,85,137,0.29,0.17,0.46,0.21,0.38,0.35,0.19,0.54,0.25,0.44,Matches,2020-2021
97,Rafael Czichos,de GER,DF,Köln,30,1990,28,26,"2,259",25.1,1,0,1,1,0,0,7,0,1.8,1.8,0.1,1.9,21,103,6,0.04,0,0.04,0.04,0.04,0.07,0.01,0.08,0.07,0.08,Matches,2020-2021
98,Moanes Dabbur,il ISR,"FW,MF",Hoffenheim,28,1992,22,11,999,11.1,4,0,4,4,0,1,2,0,5.3,4.5,0.6,5.1,20,35,80,0.36,0,0.36,0.36,0.36,0.48,0.05,0.53,0.41,0.46,Matches,2020-2021
99,Finn Dahmen,de GER,GK,Mainz 05,22,1998,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2020-2021
100,Mahmoud Dahoud,de GER,MF,Dortmund,24,1996,21,15,"1,258",14,1,1,2,1,0,0,2,0,0.6,0.6,1.4,2,21,93,30,0.07,0.07,0.14,0.07,0.14,0.04,0.1,0.14,0.04,0.14,Matches,2020-2021
101,Leon Dajaku,de GER,FW,Union Berlin,19,2001,2,0,37,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,Matches,2020-2021
102,Tiago Dantas,pt POR,MF,Bayern Munich,19,2000,2,1,69,0.8,0,0,0,0,0,0,0,0,0,0,0.1,0.1,1,3,3,0,0,0,0,0,0,0.15,0.15,0,0.15,Matches,2020-2021
103,Márton Dárdai,hu HUN,"DF,MF",Hertha BSC,18,2002,12,9,821,9.1,0,1,1,0,0,0,0,0,0.1,0.1,0.3,0.4,10,41,1,0,0.11,0.11,0,0.11,0.01,0.03,0.04,0.01,0.04,Matches,2020-2021
104,Vladimír Darida,cz CZE,MF,Hertha BSC,29,1990,27,24,"1,903",21.1,1,6,7,1,0,0,5,1,1.7,1.7,5.2,6.9,35,101,105,0.05,0.28,0.33,0.05,0.33,0.08,0.25,0.33,0.08,0.33,Matches,2020-2021
105,Alphonso Davies,ca CAN,DF,Bayern Munich,19,2000,23,22,"1,763",19.6,1,2,3,1,0,0,2,1,0.2,0.2,1.9,2.1,80,123,131,0.05,0.1,0.15,0.05,0.15,0.01,0.1,0.11,0.01,0.11,Matches,2020-2021
