S,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Season
136,John Donald,es ESP,"DF,MF",Elche,19,2000,2,1,50,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2020-2021
137,Cheick Doukouré,ci CIV,"MF,FW",Levante,27,1992,7,0,101,1.1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0,3,2,0,0,0,0,0,0,0.05,0.05,0,0.05,Matches,2020-2021
138,Idrissa Doumbia,ci CIV,MF,Huesca,22,1998,23,7,779,8.7,0,0,0,0,0,0,4,0,0.4,0.4,0.1,0.4,8,31,4,0,0,0,0,0,0.04,0.01,0.05,0.04,0.05,Matches,2020-2021
139,Domingos Duarte,pt POR,DF,Granada,25,1995,29,27,"2,363",26.3,1,0,1,1,0,0,5,1,1.4,1.4,0.5,1.9,17,79,3,0.04,0,0.04,0.04,0.04,0.05,0.02,0.07,0.05,0.07,Matches,2020-2021
140,Óscar Duarte,cr CRC,DF,Levante,31,1989,29,23,"2,060",22.9,1,0,1,1,0,0,2,0,0.8,0.8,0.2,0.9,6,52,3,0.04,0,0.04,0.04,0.04,0.03,0.01,0.04,0.03,0.04,Matches,2020-2021
141,Rubén Duarte,es ESP,DF,Alavés,24,1995,31,29,"2,545",28.3,1,1,2,1,0,0,5,1,1.4,1.4,2.8,4.2,27,111,54,0.04,0.04,0.07,0.04,0.07,0.05,0.1,0.15,0.05,0.15,Matches,2020-2021
142,Unai Dufur,es ESP,DF,Eibar,21,1999,1,1,62,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Matches,2020-2021
143,Hugo Duro,es ESP,FW,Real Madrid,20,1999,2,0,55,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,1,4,0,0,0,0,0,0.1,0.12,0.22,0.1,0.22,Matches,2020-2021
144,Aritz Elustondo,es ESP,DF,Real Sociedad,26,1994,23,22,"1,884",20.9,1,0,1,1,0,0,5,0,0.5,0.5,0.2,0.8,27,112,12,0.05,0,0.05,0.05,0.05,0.03,0.01,0.04,0.03,0.04,Matches,2020-2021
145,Rodrigo Ely,br BRA,DF,Alavés,26,1993,8,6,468,5.2,1,0,1,1,0,0,1,0,0.6,0.6,0.3,0.9,1,3,0,0.19,0,0.19,0.19,0.19,0.11,0.05,0.16,0.11,0.16,Matches,2020-2021
146,Emerson,br BRA,DF,Betis,21,1999,34,34,"2,991",33.2,1,4,5,1,0,0,9,1,1.5,1.5,2.7,4.3,90,132,186,0.03,0.12,0.15,0.03,0.15,0.05,0.08,0.13,0.05,0.13,Matches,2020-2021
147,Youssef En-Nesyri,ma MAR,FW,Sevilla,23,1997,38,23,"2,311",25.7,18,0,18,18,0,0,2,0,15.6,15.6,2.6,18.2,29,13,114,0.7,0,0.7,0.7,0.7,0.61,0.1,0.71,0.61,0.71,Matches,2020-2021
148,Sergi Enrich,es ESP,FW,Eibar,30,1990,27,13,"1,404",15.6,3,0,3,3,0,1,1,0,7.8,7,0.8,7.9,14,40,91,0.19,0,0.19,0.19,0.19,0.5,0.05,0.55,0.45,0.5,Matches,2020-2021
149,Aarón Escandell,es ESP,GK,Granada,24,1995,5,5,450,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2020-2021
150,Dani Escriche,es ESP,"FW,MF",Huesca,22,1998,23,7,857,9.5,1,1,2,1,0,0,5,1,2.1,2.1,1.3,3.4,28,27,48,0.11,0.11,0.21,0.11,0.21,0.23,0.13,0.36,0.23,0.36,Matches,2020-2021
151,Sergio Escudero,es ESP,DF,Sevilla,30,1989,9,7,565,6.3,1,0,1,1,0,0,3,0,0.2,0.2,0.4,0.6,8,22,32,0.16,0,0.16,0.16,0.16,0.04,0.06,0.1,0.04,0.1,Matches,2020-2021
152,Alfonso Espino,uy URU,DF,Cádiz,28,1992,32,31,"2,601",28.9,0,3,3,0,0,0,6,0,0.2,0.2,1.4,1.6,31,63,59,0,0.1,0.1,0,0.1,0.01,0.05,0.06,0.01,0.06,Matches,2020-2021
153,Vicente Esquerdo,es ESP,MF,Valencia,21,1999,4,3,231,2.6,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0,4,3,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04,Matches,2020-2021
154,Pervis Estupiñán,ec ECU,DF,Villarreal,22,1998,25,12,"1,168",13,0,0,0,0,0,0,1,0,0.5,0.5,1.5,2,39,35,120,0,0,0,0,0,0.04,0.11,0.15,0.04,0.15,Matches,2020-2021
155,Xabier Etxeita,es ESP,DF,Getafe,32,1987,11,9,883,9.8,0,0,0,0,0,0,3,0,0.4,0.4,0.3,0.7,2,25,1,0,0,0,0,0,0.04,0.03,0.07,0.04,0.07,Matches,2020-2021
156,Edu Expósito,es ESP,MF,Eibar,23,1996,31,27,"2,455",27.3,0,3,3,0,0,2,4,0,3.3,1.7,3.6,5.3,45,169,81,0,0.11,0.11,0,0.11,0.12,0.13,0.25,0.06,0.19,Matches,2020-2021
157,Jokin Ezkieta,es ESP,GK,Athletic Club,23,1996,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2020-2021
158,Fali,es ESP,"DF,MF",Cádiz,26,1993,34,29,"2,637",29.3,0,0,0,0,0,0,11,0,0.7,0.7,0.6,1.3,10,68,12,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04,Matches,2020-2021
159,Ansu Fati,es ESP,FW,Barcelona,17,2002,7,6,431,4.8,4,0,4,4,0,0,1,0,1.8,1.8,1.7,3.5,32,12,60,0.84,0,0.84,0.84,0.84,0.37,0.36,0.73,0.37,0.73,Matches,2020-2021
160,Nabil Fekir,fr FRA,"MF,FW",Betis,27,1993,33,33,"2,622",29.1,5,6,11,4,1,3,5,1,7,4.6,5.2,9.8,104,152,182,0.17,0.21,0.38,0.14,0.34,0.24,0.18,0.42,0.16,0.34,Matches,2020-2021
