Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper,UCL_progress,Season,,,,
10,de  Leverkusen,10,6,1,3,15,7,8,19,"25,647",Son Heung-min - 3,Bernd Leno,Round of 16,2014-2015,,,,
11,eng  Chelsea,8,4,4,0,20,6,14,16,"40,139",Eden Hazard - 3,Thibaut Courtois,Round of 16,2014-2015,,,,
12,de  Dortmund,8,4,1,3,15,9,6,13,"68,888",Ciro Immobile - 4,Roman Weidenfeller,Round of 16,2014-2015,,,,
13,de  Schalke 04,8,3,2,3,13,19,-6,11,"51,696",Klaas-Jan Huntelaar - 5,Ralf Fährmann,Round of 16,2014-2015,,,,
14,ua  Shakhtar,8,2,4,2,15,11,4,10,"33,655",Luiz Adriano - 9,Andriy Pyatov,Round of 16,2014-2015,,,,
15,eng  Manchester City,8,2,2,4,10,11,-1,8,"42,392",Sergio Agüero - 6,Joe Hart,Round of 16,2014-2015,,,,
16,ch  Basel,8,2,2,4,8,13,-5,8,"35,434",Derlis González - 3,Tomáš Vaclík,Round of 16,2014-2015,,,,
,,,,,,,,,,,,,,2014-2015,,,,
17,ru  Zenit,10,5,1,4,11,7,4,16,"16,052","Danny, Hulk... - 1",Yuri Lodygin,Group Stage,2014-2015,,,,
18,si  NK Maribor,12,3,6,3,11,16,-5,15,"10,709","Damjan Bohar, Agim Ibraimi... - 1",Jasmin Handanović,Group Stage,2014-2015,,,,
19,bg  Ludogorets,12,3,4,5,13,18,-5,13,"17,963",Dani Abalo - 2,Vladislav Stoyanov,Group Stage,2014-2015,,,,
20,se  Malmö,12,4,1,7,13,21,-8,13,"18,252",Markus Rosenberg - 3,Robin Olsen,Group Stage,2014-2015,,,,
21,by  BATE Borisov,12,3,3,6,10,28,-18,12,"12,719","Alyaksandr Karnitsky, Dzyanis Palyakow - 1",Sergei Chernik,Group Stage,2014-2015,,,,
22,es  Athletic Club,8,3,2,3,9,8,1,11,"43,592",Mikel San José - 2,Gorka Iraizoz,Group Stage,2014-2015,,,,
23,gr  Olympiacos,6,3,0,3,10,13,-3,9,"30,306","Ibrahim Afellay, Kostas Mitroglou - 2",Roberto,Group Stage,2014-2015,,,,
24,cy  APOEL FC,10,2,3,5,10,15,-5,9,"18,167",Gustavo Manduca - 1,Urko Pardo,Group Stage,2014-2015,,,,
25,pt  Sporting CP,6,2,1,3,12,12,0,7,"36,315",Nani - 4,Rui Patrício,Group Stage,2014-2015,,,,
26,be  Anderlecht,6,1,3,2,8,10,-2,6,"19,462","Aleksandar Mitrović, Chancel Mbemba... - 2",Silvio Proto,Group Stage,2014-2015,,,,
27,nl  Ajax,6,1,2,3,8,10,-2,5,"51,447",Lasse Schöne - 3,Jasper Cillessen,Group Stage,2014-2015,,,,
28,eng  Liverpool,6,1,2,3,5,9,-4,5,"43,373",Steven Gerrard - 2,Simon Mignolet,Group Stage,2014-2015,,,,
29,pt  Benfica,6,1,2,3,2,6,-4,5,"37,619","Eduardo Salvio, Talisca - 1",Júlio César,Group Stage,2014-2015,,,,
30,it  Roma,6,1,2,3,8,14,-6,5,"53,336",Gervinho - 3,Morgan De Sanctis,Group Stage,2014-2015,,,,
31,ru  CSKA Moscow,6,1,2,3,6,13,-7,5,"28,500",Seydou Doumbia - 3,Igor Akinfeev,Group Stage,2014-2015,,,,
32,tr  Galatasaray,6,0,1,5,4,19,-15,1,"28,489",Burak Yılmaz - 2,Fernando Muslera,Group Stage,2014-2015,,,,
1,es  Real Madrid,13,9,3,1,28,6,22,30,"72,831",Cristiano Ronaldo - 16,Keylor Navas,Winner,2015-2016,,,,
,,,,,,,,,,,,,,2015-2016,,,,
2,es  Atlético Madrid,13,6,4,3,17,8,9,22,"44,276",Antoine Griezmann - 7,Jan Oblak,Runner up,2015-2016,,,,
,,,,,,,,,,,,,,2015-2016,,,,
3,de  Bayern Munich,12,8,2,2,30,11,19,26,"70,000",Robert Lewandowski - 9,Manuel Neuer,Semi Finalist,2015-2016,,,,
4,eng  Manchester City,12,6,3,3,18,12,6,21,"47,780","Kevin De Bruyne, Raheem Sterling - 3",Joe Hart,Semi Finalist,2015-2016,,,,
,,,,,,,,,,,,,,2015-2016,,,,
5,es  Barcelona,10,7,2,1,22,8,14,23,"74,651",Luis Suárez - 8,Marc-André ter Stegen,Quarter Finalist,2015-2016,,,,
6,de  Wolfsburg,10,7,0,3,15,11,4,21,"23,955",Julian Draxler - 3,Diego Benaglio,Quarter Finalist,2015-2016,,,,
7,fr  Paris S-G,10,6,2,2,18,6,12,20,"46,322",Zlatan Ibrahimović - 5,Kevin Trapp,Quarter Finalist,2015-2016,,,,
8,pt  Benfica,10,5,2,3,15,12,3,17,"45,601",Nicolás Gaitán - 4,Júlio César,Quarter Finalist,2015-2016,,,,
,,,,,,,,,,,,,,2015-2016,,,,
9,ru  Zenit,8,5,0,3,14,9,5,15,"17,576",Artem Dzyuba - 6,Yuri Lodygin,Round of 16,2015-2016,,,,
10,eng  Chelsea,8,4,1,3,15,7,8,13,"40,153",Willian - 5,Asmir Begović,Round of 16,2015-2016,,,,
11,ua  Dynamo Kyiv,8,3,3,2,9,7,2,12,"41,707","Andriy Yarmolenko, Vitaliy Buyalskyi - 2",Oleksandr Shovkovskiy,Round of 16,2015-2016,,,,
12,it  Juventus,8,3,3,2,10,9,1,12,"39,241","Álvaro Morata, Mario Mandžukić - 2",Gianluigi Buffon,Round of 16,2015-2016,,,,
13,nl  PSV Eindhoven,8,3,3,2,8,7,1,12,"34,810","Luuk de Jong, Maxime Lestienne - 2",Jeroen Zoet,Round of 16,2015-2016,,,,
14,be  Gent,8,3,1,4,10,11,-1,10,"19,752",Danijel Milićević - 3,Matz Sels,Round of 16,2015-2016,,,,
15,eng  Arsenal,8,3,0,5,13,15,-2,9,"57,030",Olivier Giroud - 5,Petr Čech,Round of 16,2015-2016,,,,
16,it  Roma,8,1,3,4,11,20,-9,6,"45,325","Miralem Pjanić, Edin Džeko... - 2",Wojciech Szczęsny,Round of 16,2015-2016,,,,
,,,,,,,,,,,,,,2015-2016,,,,
17,by  BATE Borisov,12,4,4,4,11,16,-5,16,"12,332",Filip Mladenović - 2,Sergei Chernik,Group Stage,2015-2016,,,,
18,kz  FC Astana,12,3,6,3,14,17,-3,15,"25,555",Patrick Twumasi - 2,Nenad Erić,Group Stage,2015-2016,,,,
19,hr  Dinamo Zagreb,12,4,3,5,17,21,-4,15,"14,419","Junior Fernándes, Josip Pivarić... - 1",Eduardo Carvalho,Group Stage,2015-2016,,,,
20,eng  Manchester Utd,8,4,2,2,14,8,6,14,"75,152",Anthony Martial - 2,David de Gea,Group Stage,2015-2016,,,,
21,se  Malmö,12,4,1,7,9,26,-17,13,"19,059",Markus Rosenberg - 1,Johan Wiland,Group Stage,2015-2016,,,,
22,ru  CSKA Moscow,10,3,2,5,14,16,-2,11,"15,763",Seydou Doumbia - 3,Igor Akinfeev,Group Stage,2015-2016,,,,
