UCL_progress,Squad,MP,W,D,L,GF,GA,GD,Pts,Top Team Scorer,Goalkeeper,Notes,Season
R16,eng  Arsenal,8,4,2,2,20,16,4,14,"Mesut Özil, Theo Walcott - 4",David Ospina,,2016-2017
R16,es  Sevilla,8,4,2,2,9,6,3,14,Wissam Ben Yedder - 2,Sergio Rico,,2016-2017
R16,eng  Manchester City,8,3,4,1,17,13,4,13,Sergio Agüero - 5,Willy Caballero,,2016-2017
R16,pt  Porto,8,3,2,3,9,6,3,11,André Silva - 4,Iker Casillas,,2016-2017
R16,it  Napoli,8,3,2,3,13,14,-1,11,Dries Mertens - 5,Pepe Reina,,2016-2017
R16,pt  Benfica,8,3,2,3,11,14,-3,11,Eduardo Salvio - 3,Ederson,,2016-2017
R16,de  Leverkusen,8,2,4,2,11,11,0,10,"Kevin Kampl, Kevin Volland... - 1",Bernd Leno,,2016-2017
GR,dk  FC Copenhagen,6,2,3,1,7,2,5,9,Mathias Jørgensen - 2,Robin Olsen,,2016-2017
GR,fr  Lyon,6,2,2,2,5,3,2,8,Corentin Tolisso - 2,Anthony Lopes,,2016-2017
GR,eng  Tottenham,6,2,1,3,6,6,0,7,Harry Kane - 2,Hugo Lloris,,2016-2017
GR,tr  Beşiktaş,6,1,4,1,9,14,-5,7,"Vincent Aboubakar, Ricardo Quaresma - 3",Tolga Zengin,,2016-2017
GR,ua  Dynamo Kyiv,6,1,2,3,8,6,2,5,"Derlis González, Vitaliy Buyalskyi... - 1",Artur Rudko,,2016-2017
GR,ru  Rostov,6,1,2,3,6,12,-6,5,Dmitry Poloz - 3,Soslan Dzhanayev,,2016-2017
GR,de  Gladbach,6,1,2,3,5,12,-7,5,Lars Stindl - 2,Yann Sommer,,2016-2017
GR,pl  Legia Warsaw,6,1,1,4,9,24,-15,4,"Aleksandar Prijović, Miroslav Radović - 2",Arkadiusz Malarz,,2016-2017
